Algoritmo,Dimensao,Tempo
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,3
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,5
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,3
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,5
Bubble,1000,12
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,5
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,4
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,6
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,3
Bubble,1000,12
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,3
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,3
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,5
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,1
Shell,1000,1
Insertion,1000,5
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,3
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,1
Insertion,1000,4
Bubble,1000,11
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,5
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,3
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,10
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,5
Bubble,1000,9
QuickIn,1000,0
Quick1,1000,0
Quick2,1000,0
Merge,1000,0
Shell,1000,0
Insertion,1000,4
Bubble,1000,10
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,43
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,16
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,16
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,43
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,4
Insertion,2000,16
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,16
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,44
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,3
Shell,2000,4
Insertion,2000,16
Bubble,2000,40
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,40
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,16
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,43
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,42
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,41
QuickIn,2000,0
Quick1,2000,0
Quick2,2000,0
Merge,2000,1
Shell,2000,3
Insertion,2000,15
Bubble,2000,39
QuickIn,2000,1
Quick1,2000,0
Quick2,2000,0
